,GPA,Gender,breakfast,calories_chicken,calories_day,calories_scone,coffee,comfort_food,comfort_food_reasons_coded,cook,comfort_food_reasons_coded.1,cuisine,diet_current_coded,drink,eating_changes_coded,eating_changes_coded1,eating_out,employment,ethnic_food,exercise,father_education,father_profession,fav_cuisine,fav_cuisine_coded,fav_food,food_childhood,fries,fruit_day,grade_level,greek_food,healthy_feeling,healthy_meal,ideal_diet,ideal_diet_coded,income,indian_food,italian_food,life_rewarding,marital_status,meals_dinner_friend,mother_education,mother_profession,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,soup,sports,thai_food,tortilla_calories,turkey_calories,type_sports,veggies_day,vitamins,waffle_calories,weight
1,3.654,1,1,0.7582417582417582,3.0,0.15789473684210525,2,"chocolate,chips,ice cream",1.0,3.0,1,1.0,2,2.0,1,0.0,2,2.0,4,1.0,2.0,,italian,1,1.0,,1,4,4,4,5,"grains,veggies,more of grains and veggies,small protein and fruit with dairy",,3,4.0,4,4,1.0,2.0,"pasta,steak,chicken",4.0,,4,1.0,1,4,4.0,3.0,1.0,1.0,2,0.24786324786324787,0.6831683168316832,basketball,4,2,0.4391891891891892,0.4230769230769231
2,3.3,1,1,1.0,4.0,0.15789473684210525,2,"frozen yogurt,pizza,fast food",1.0,1.0,1,3.0,3,1.0,1,0.1,2,3.0,5,2.0,2.0,,italian,1,3.0,,1,5,3,5,6,usually includes natural ingredients; nonprocessed food,,6,6.0,5,5,7.0,2.0,"chicken and rice with veggies,pasta,some kind of healthy recipe",2.0,,4,2.0,1,3,5.0,6.0,1.0,2.0,5,1.0,0.3069306930693069,none,5,1,0.4391891891891892,0.45
4,3.5,1,1,1.0,2.0,0.15789473684210525,2,"ice cream,chocolate,chips",1.0,1.0,1,2.0,2,2.0,3,0.2,2,2.0,4,1.0,4.0,,italian,1,3.0,,1,4,4,4,6,"a lean protein such as grilled chicken,green vegetables and  brown rice or other whole grain",,2,6.0,2,5,1.0,1.0,"chicken parmesan,pulled pork,spaghetti and meatballs",5.0,,3,1.0,1,4,2.0,4.0,1.0,1.0,4,0.6153846153846154,0.3069306930693069,softball,4,2,0.25,0.6923076923076923
6,3.8,2,1,0.7582417582417582,3.0,0.15789473684210525,2,"chocolate,ice cream,french fries,pretzels",1.0,2.0,1,1.0,3,1.0,2,0.3,2,3.0,5,1.0,4.0,,thai,4,1.0,,1,4,4,5,4,"protein,vegetables,fruit,and some carbs",,2,4.0,5,5,8.0,1.0,"grilled chicken,steak,pizza",4.0,,4,2.0,2,2,5.0,4.0,1.0,1.0,5,0.6153846153846154,0.6831683168316832,soccer,4,1,1.0,0.6153846153846154
7,3.3,1,1,1.0,3.0,0.15789473684210525,1,"ice cream,cheeseburgers,chips",1.0,3.0,1,1.0,1,2.0,2,0.3,2,2.0,2,2.0,3.0,,anything american style,5,1.0,,1,5,2,3,3,a healthy meal has a piece of meat followed by a lot of fruit and veggies,,2,5.0,1,3,3.0,1.0,"chicken,steak,pasta",2.0,,4,1.0,1,5,1.0,3.0,1.0,2.0,1,0.24786324786324787,0.3069306930693069,none,4,2,1.0,0.2846153846153846
8,3.3,1,1,0.3626373626373626,3.0,0.15789473684210525,1,"donuts,ice cream,chips",2.0,3.0,2,1.0,1,1.0,2,0.6,5,2.0,5,1.6,5.0,,seafood,1,3.0,,1,4,1,5,7,colorful,,6,5.0,5,5,8.0,2.0,"pasta,fish,steak",5.0,,2,1.0,2,3,5.0,4.0,2.0,2.0,5,0.24786324786324787,0.0,none,3,2,0.25,0.6153846153846154
9,3.3,1,1,0.3626373626373626,3.0,0.0,2,"mac and cheese,chocolate,and pasta",1.0,3.0,1,1.0,1,1.0,1,0.1,3,3.0,5,1.0,5.0,,italian,1,1.0,,1,5,1,5,3,"chicken and rice with a side of veggies,",,2,4.0,4,5,3.0,2.0,pasta salad and bread,5.0,,5,1.0,3,3,4.0,3.0,1.0,1.0,4,0.0,0.0,field hockey,5,1,0.4391891891891892,0.19230769230769232
10,3.5,1,1,0.7582417582417582,3.0,1.0,2,"pasta,grandma homemade chocolate cake anything homemade",2.0,1.0,2,1.0,1,2.0,3,0.2,2,1.0,5,1.0,2.0,,orange chicken and chow mani noodles,4,1.0,,1,5,3,1,9,"chicken,and veggies",,7,3.0,1,5,8.0,1.0,"chicken al king,spaghetti,fish",4.0,,2,3.0,1,2,2.0,1.0,1.0,1.0,2,0.6153846153846154,0.0,soccer,5,2,0.4391891891891892,0.12307692307692308
13,3.6,1,1,0.7582417582417582,3.0,0.15789473684210525,2,"ice cream,cake,chocolate",1.0,2.0,1,1.0,2,2.0,1,0.1,4,2.0,5,2.0,2.0,,italian,1,1.0,,1,5,3,4,8,"lots of vegetabls with some grains like rice,also has lean meat such as fish or chicken",,2,5.0,3,5,10.0,2.0,"pasta,chicken,steak",4.0,,2,2.0,2,3,3.0,3.0,1.0,1.0,5,1.0,1.0,intramural volleyball,5,2,1.0,0.17692307692307693
14,3.1,2,1,0.7582417582417582,3.0,0.15789473684210525,2,"pizza,fruit,spaghetti,chicken and potatoes ",2.0,3.0,2,1.0,1,2.0,3,0.2,2,3.0,4,2.0,4.0,,chinese,4,3.0,,1,5,3,4,2,green and not greasy,,1,5.0,2,3,1.0,1.0,"pizza,chicken and rice,roast beef",4.0,,2,2.0,2,3,1.0,3.0,1.0,1.0,4,0.6153846153846154,0.3069306930693069,hockey,5,1,0.4391891891891892,0.6538461538461539
15,3.4,2,2,0.3626373626373626,3.0,1.0,2,"cookies,donuts,candy bars",2.0,4.0,2,1.0,2,2.0,3,0.2,4,3.0,1,1.0,5.0,,italian food,1,2.0,,1,3,1,1,6,"chicken,veggies,rice",,2,4.0,1,5,5.1,2.0,pizza buffalo chicken pasta,4.0,,1,1.0,2,3,1.0,2.0,2.0,1.0,1,0.6153846153846154,0.0,hockey,1,2,1.0,0.6153846153846154
16,4.0,1,1,0.0,3.0,0.15789473684210525,1,"saltfish,candy and kit kat",1.0,3.0,1,1.4,1,1.0,2,0.3,1,2.0,2,2.0,1.0,,jamaican,7,1.0,,1,5,1,2,7,"not too much carbs,a lot of protein,healthy fats and fruits and vegs",,2,1.0,5,3,9.0,2.0,"curry goat,saltfish,jerk chicken",2.0,,4,1.0,2,2,2.0,3.0,1.0,2.0,1,0.0,0.0,nan,5,1,0.25,0.34615384615384615
17,3.6,2,1,0.3626373626373626,3.0,1.0,2,"chips,cookies,ice cream",2.0,3.0,2,1.0,3,2.0,1,0.0,2,3.0,4,1.0,2.0,,american or italian,5,3.0,,1,3,1,3,8,"for me usually a big piece of chicken or steak with a side of veggies,and i usually have rice with mine as well",,1,6.0,3,5,7.0,2.0,"grilled chicken or steak with veggies and rice,or some type of pasta and chicken",2.0,,4,1.0,1,6,2.0,2.0,1.0,1.0,3,0.6153846153846154,0.3069306930693069,hockey,4,2,0.4391891891891892,0.5384615384615384
20,3.3,2,1,0.7582417582417582,3.0,1.0,2,"fast food,pizza,subs",7.0,5.0,7,1.0,2,2.0,1,0.1,4,2.0,4,1.0,5.0,,mexican,2,3.0,,1,2,2,2,5,"rice,meat,vegetable",,1,6.0,1,4,2.0,1.0,"chicken,pasta,veal",4.0,,2,1.0,1,2,1.0,6.0,1.0,1.0,1,1.0,1.0,soccer,3,2,1.0,0.5769230769230769
21,3.87,2,1,0.7582417582417582,3.0,0.0,1,"chocolate,sweets,ice cream",2.0,3.0,2,3.0,2,1.6,1,0.6,1,2.0,3,1.0,4.0,,indian,8,2.0,,1,3,4,5,8,green and colourful,,7,6.0,5,5,7.0,2.0,"meat,wine,chocolate pudding",2.0,,4,1.0,3,5,5.0,2.0,2.0,1.0,5,0.24786324786324787,0.3069306930693069,tennis,2,2,0.4391891891891892,0.7307692307692307
23,3.7,2,2,0.7582417582417582,3.0,0.15789473684210525,2,"chilli,soup,pot pie",1.0,4.0,1,1.0,1,1.0,1,0.5,2,2.0,5,3.0,4.0,,asian,4,1.0,,1,3,3,2,4,"protein,vegetables,grains",,1,4.0,4,5,5.0,1.0,"pizza,pasta,poutine",2.0,,2,1.0,2,3,2.0,3.0,1.0,1.0,4,0.6153846153846154,0.6831683168316832,gaelic football,4,1,1.0,0.6538461538461539
24,3.9,1,1,1.0,2.0,0.15789473684210525,2,"soup,pasta,brownies,cake",6.0,1.0,6,1.0,1,2.0,1,0.0,4,3.0,4,1.6,3.0,,chinese,4,1.0,,1,4,3,5,5,a healthy meal is a lean meat with mostly vegetables and a starch like brown rice or quinoa,,2,4.0,3,5,2.0,2.0,"pasta,chicken and rice,and soup",2.0,,2,1.0,1,3,3.0,4.0,2.0,2.0,4,0.6153846153846154,0.3069306930693069,none,4,2,1.0,0.038461538461538464
25,2.8,1,2,1.0,3.0,0.15789473684210525,2,"chocolate,ice cream,milkshake,cookies",2.0,3.0,2,1.0,1,1.0,3,0.2,2,3.0,2,1.0,4.0,,don't have one,0,3.0,,1,4,1,3,8,"good portions,lots of color,targets main food groups",,2,6.0,3,3,5.0,1.0,pastatake out,3.0,,4,1.0,1,3,3.0,3.0,1.0,1.0,3,1.0,0.6831683168316832,ice hockey,3,2,0.25,0.19230769230769232
26,3.7,2,1,0.7582417582417582,2.0,0.15789473684210525,1,"chips,ice cream,microwaveable foods",2.0,3.0,2,1.0,1,1.0,1,0.1,2,2.0,2,1.0,4.0,,italian food,1,1.0,,1,3,2,1,9,"a rice,a vegetable,a piece of meat",,5,5.0,1,5,9.0,2.0,chicken parm,2.0,,2,1.0,1,4,1.0,2.0,2.0,1.0,2,1.0,1.0,hockey,3,2,1.0,0.46153846153846156
27,3.0,2,1,0.7582417582417582,4.0,1.0,2,"chicken fingers,pizza",2.0,4.0,2,1.0,1,2.0,2,0.3,2,3.0,3,1.0,5.0,,mexican,2,1.0,,1,5,1,3,9,"salad,vegetable,carb,protein",,6,6.0,3,4,9.0,2.0,"steak,lobster,chicken",5.0,,4,1.0,1,6,2.0,2.0,1.0,1.0,3,1.0,0.3069306930693069,lacrosse,5,1,1.0,0.5769230769230769
28,3.2,2,1,0.7582417582417582,2.0,0.15789473684210525,2,"cookies,hot chocolate,beef jerky",2.0,2.0,2,2.0,2,1.0,1,0.1,2,2.0,2,2.0,4.0,,"italian,german",1,1.0,,1,3,3,1,4,"protein,vegetable and grains",,7,5.0,1,5,3.0,1.0,"garlic noodles and steak,parmesan chicken and pasta,tacos and pasta",4.0,,5,1.0,1,3,2.0,3.0,1.0,2.0,1,0.6153846153846154,0.3069306930693069,nan,2,1,1.0,0.6153846153846154
29,3.5,2,1,0.0,2.0,0.15789473684210525,2,"tomato soup,pizza,fritos,meatball sub,dr,pepper",2.0,3.0,2,1.4,2,2.0,1,0.1,5,3.0,5,2.0,5.0,,indian food - samosas are amazing,8,1.0,,1,5,3,3,9,"grilled chicken,mac and cheese,broccoli,apple,milk",,7,5.0,5,5,10.0,1.0,"tomato soup,steak,crab",5.0,,2,1.0,1,4,5.0,2.0,1.0,2.0,5,0.0,0.3069306930693069,nan,4,1,0.25,0.5153846153846153
30,4.0,1,1,1.0,3.0,0.15789473684210525,2,"cookies,mac-n-cheese,brownies,french fries,",1.0,3.0,1,1.0,1,1.0,1,0.5,3,2.0,4,2.0,2.0,,mexican,2,2.0,,1,3,4,2,7,"whole grain carbs,vegetables,a small amount of protein",,2,5.0,3,4,8.0,2.0,"pasta,chicken with potatoes,pizza",5.0,,4,3.0,3,3,2.0,3.0,2.0,1.0,3,0.6153846153846154,0.3069306930693069,snowboarding,5,1,1.0,0.11538461538461539
32,3.4,2,1,0.7582417582417582,3.0,0.0,2,"grandma's chinese,peruvian food from back home,and sushi",4.0,5.0,4,1.4,2,2.0,1,0.1,3,2.0,5,1.6,5.0,,spanish,2,1.7,,1,4,4,5,5,plenty of greens and lean proteins,,7,5.0,5,5,8.0,1.0,"pasta,sushi,steak",5.0,,4,1.0,3,4,5.0,4.0,1.0,1.0,5,0.0,0.0,soccer,5,1,0.25,0.45
33,2.8,1,1,1.0,3.0,0.15789473684210525,1,"ice cream,cookies, chinese food,and chicken nuggets",2.0,4.0,2,2.0,2,1.0,1,0.1,2,3.0,4,3.0,4.0,,italian,1,1.0,,1,3,1,5,7,a balance of vegetables and cooked lean meat,,2,3.0,2,5,3.0,1.0,"chicken parmesan,pasta,",3.4,,4,1.0,1,3,2.0,3.0,1.0,2.0,1,1.0,0.3069306930693069,nan,3,1,0.4391891891891892,0.2153846153846154
35,3.0,1,1,0.7582417582417582,2.0,0.15789473684210525,2,"mac n cheese,peanut butter and banana sandwich,omelet",2.0,1.0,2,1.0,3,1.0,1,0.1,2,3.0,2,1.0,4.0,,american or italian,5,1.0,,1,5,3,3,2,"some kind of protein,a vegetable,and a grain",,6,4.0,1,5,3.0,2.0,"some kind of pasta,a chicken dish,some kind of salad",4.0,,2,2.0,1,3,2.0,2.0,1.0,1.0,2,0.6153846153846154,0.6831683168316832,lacrosse,5,2,0.25,0.38461538461538464
36,3.7,1,1,0.7582417582417582,3.0,0.15789473684210525,2,"pizza,doughnuts,mcdonalds",2.0,3.0,2,1.4,2,2.0,1,0.6,4,2.0,4,1.0,5.0,,italian or chinese,1,3.0,,1,5,2,3,7,"a meal with a meat,vegetable,grain,and fruit",,5,6.0,2,5,7.0,1.0,"spaghetti or pasta,shrimp fried rice,chicken",2.0,,3,1.0,2,3,1.0,4.0,2.0,1.0,2,1.0,0.3069306930693069,softball,5,2,0.4391891891891892,0.38461538461538464
38,3.89,1,1,0.7582417582417582,3.0,1.0,2,"chocolate,popcorn,ice cream",2.0,3.0,2,1.0,1,1.0,1,0.0,2,3.0,4,2.0,4.0,,italian,1,1.0,,1,4,4,3,6,a lean protein plus the addition of 2-3 fruits and vegetables,,2,5.0,3,5,8.0,2.0,"chicken parmesan,orange chicken,tacos",4.0,,4,1.0,1,3,3.0,4.0,1.0,1.0,2,1.0,0.6831683168316832,lacrosse,3,2,1.0,0.38461538461538464
40,3.4,2,1,0.3626373626373626,3.0,0.0,1,"pizza,ice cream,fries,cereal,cookies ",3.0,3.0,3,1.0,3,2.0,1,0.7,2,3.0,4,1.0,4.0,,italian,1,1.0,,1,3,1,5,10,"a meal with all of the food groups,",,2,6.0,3,5,8.0,1.0,"pizza,japanize hibachi,moes  ",4.0,,3,1.0,1,3,3.0,2.0,1.0,1.0,3,0.6153846153846154,0.3069306930693069,wrestling,4,2,0.25,0.3076923076923077
41,2.9,1,1,1.0,4.0,1.0,2,"ice cream,chocolate,twizzlers",5.0,2.0,5,1.0,4,1.0,1,0.1,4,2.0,4,1.0,2.0,,italian,1,1.0,,1,5,2,5,6,a salad with chicken and 2 tablespoons of salad dressing,,3,3.0,3,5,4.0,1.0,"chicken,pasta,salad",3.0,,4,1.0,1,3,2.0,6.0,1.0,2.0,4,0.6153846153846154,0.6831683168316832,nan,5,1,1.0,0.15384615384615385
42,3.6,1,1,0.7582417582417582,3.0,0.15789473684210525,2,"ice cream,cookie dough,cookies,cheese",2.0,4.0,2,1.0,2,2.0,1,0.1,2,2.0,3,1.6,4.0,,italian,1,1.0,,1,5,2,5,6,"grilled chicken,side salad,rice and broccoli and cranberries",,1,6.0,4,5,7.0,1.0,"pancakes,pasta,grilled cheese and soup",4.0,,1,1.0,2,3,2.0,3.0,1.0,2.0,4,0.6153846153846154,0.3069306930693069,nan,4,2,0.4391891891891892,0.2692307692307692
43,3.5,1,1,0.3626373626373626,2.0,1.0,1,"ice cream,cereal,and salt and vinegar chips",3.0,3.0,3,1.0,2,1.0,2,0.3,1,2.4,5,1.6,2.0,,chinese,4,3.0,,1,4,3,5,6,"it is probably more on the green side and there is less fryed or overly seasoned food,there would be more organic foods rather than processed foods,",,2,3.0,5,5,8.0,2.0,"pasta,soup,steak ",2.0,,3,1.3,1,2,5.0,3.1,2.0,2.0,5,0.6153846153846154,0.0,no particular engagement,4,1,0.4391891891891892,0.0
44,3.2,1,1,0.7582417582417582,4.0,0.15789473684210525,2,"potato chips,ice cream,chocolate,cookies",1.0,1.0,1,1.0,1,1.0,2,0.2,2,2.0,5,1.0,4.0,,thai food,4,1.0,,1,5,4,5,8,mostly green!,,7,5.0,5,5,10.0,1.0,"steak,asparagus and potatoes,homemade chicken alfredo,mexican cuisine",2.0,,4,2.0,1,6,5.0,3.0,1.0,1.0,5,0.24786324786324787,0.3069306930693069,volleyball,5,1,0.25,0.5384615384615384
45,3.605,1,1,0.7582417582417582,3.0,0.0,2,"mac and cheese,fried chicken,cornbread",4.0,3.0,4,1.0,1,1.0,2,0.3,2,2.0,5,1.6,4.0,,greek,1,1.0,,1,5,2,5,3,colorful,,6,6.0,5,5,3.0,2.0,"tacos,spaghetti,grilled cheese",4.0,,2,1.0,2,4,5.0,1.0,1.0,2.0,5,0.6153846153846154,0.3069306930693069,none,5,2,0.4391891891891892,0.1
46,3.8,2,1,0.3626373626373626,2.0,0.15789473684210525,1,"popcorn,chips,candy,& fries",3.0,3.0,3,1.0,2,2.0,1,0.0,2,2.0,4,2.0,3.0,,italian,1,1.0,,1,4,1,4,4,"a meal that you have cooked yourself without a lot of grease or fat in it,",,5,4.0,3,5,4.0,1.0,"spaghetti,steak,burgers",4.0,,3,1.0,2,3,3.0,3.0,1.0,1.0,3,0.24786324786324787,0.0,soccer,4,2,0.4391891891891892,0.5230769230769231
47,2.8,2,1,0.3626373626373626,3.0,1.0,2,"chex-mix,wegmans cookies,cheez-its",2.0,4.0,2,1.0,2,1.0,1,0.1,2,2.4,3,1.0,5.0,,italian,1,3.0,,1,5,1,3,8,"good balance between meats,grains,fruits,vegetables,carbs,and dairy products",,7,6.0,2,4,9.0,1.0,"lasagna, hamburgers w,corn,steak ",5.0,,2,1.0,1,3,4.0,2.0,1.0,1.0,1,0.6153846153846154,0.0,wrestling & rowing,5,2,0.4391891891891892,0.34615384615384615
48,3.5,2,2,0.3626373626373626,3.0,0.0,1,"pizza,ice cream,chips",1.0,4.0,1,1.0,2,2.0,1,0.1,2,3.0,4,1.0,4.0,,asian,4,1.0,,1,5,2,4,2,one that is well balanced and consists on main food groups,,7,5.0,4,5,3.0,1.0,"steak,chicken,tacos",4.0,,3,1.0,1,3,4.0,1.0,2.0,1.0,4,0.6153846153846154,0.0,wrestling,5,1,0.25,0.4230769230769231
49,3.83,2,1,0.3626373626373626,3.0,0.0,2,"fried chicken,mashed potatoes,mac and cheese",5.0,3.0,5,2.0,2,1.0,1,0.1,2,2.4,3,2.0,2.0,,italian,1,1.0,,1,3,3,4,9,lots of green and color,,2,3.0,4,5,9.0,2.0,"pizza,pasta,burgers",4.0,,2,1.0,2,6,2.8,1.0,2.0,2.0,4,1.0,0.6831683168316832,none,3,2,0.4391891891891892,0.38461538461538464
50,3.6,2,1,1.0,3.0,0.15789473684210525,2,"popcorn,chex mix,pizza",1.0,5.0,1,1.0,1,1.0,2,0.3,2,3.0,2,1.0,3.0,,american,5,2.0,,1,4,3,1,8,"balance of veggies,white meat,fruits,and grains",,4,1.0,1,3,8.0,1.0,"pizza,salad",2.0,,5,3.0,1,3,1.0,3.0,1.0,2.0,1,1.0,0.3069306930693069,nan,5,2,0.25,0.5307692307692308
51,3.3,2,1,0.7582417582417582,4.0,1.0,1,burger,5.0,3.0,5,1.0,4,1.0,1,0.1,3,3.0,5,1.0,2.0,,all,0,1.0,,1,5,2,5,8,chicken,,5,6.0,5,5,8.0,1.0,"steak,chicken,pasta",2.0,,5,1.0,1,3,5.0,2.0,1.0,1.0,5,1.0,0.3069306930693069,hockey,4,1,1.0,0.6538461538461539
52,3.3,2,1,0.7582417582417582,4.0,0.15789473684210525,2,"pizza,chocolate,and ice cream",2.0,1.0,2,1.0,3,1.0,1,0.1,5,2.4,4,1.0,3.0,,mexican,2,1.0,,1,5,2,5,1,low carbs and high protein,,3,5.0,3,5,5.0,1.0,chicken parm,2.0,,5,1.0,1,3,3.0,2.0,2.0,1.0,3,1.0,0.3069306930693069,lacrosse,5,2,0.4391891891891892,0.7692307692307693
56,3.8,2,1,1.0,4.0,0.0,2,"pizza,ice cream,chicken wings",2.0,3.0,2,1.0,1,1.0,2,0.3,4,3.0,5,1.0,4.0,,thai,4,1.0,,1,5,4,4,1,low protein and carbs and high in vegetables and fruits,,2,6.0,5,5,1.0,1.0,"chicken,beef,steak",4.0,,4,2.0,1,4,4.0,2.0,1.0,1.0,5,1.0,0.3069306930693069,hockey,5,1,1.0,0.5769230769230769
59,3.7,1,1,0.7582417582417582,3.0,0.15789473684210525,2,"mac n cheese,chips and salsa,ice cream,",2.0,2.0,2,1.0,3,2.0,1,0.9,2,3.0,5,1.6,4.0,,italian,1,3.0,,1,5,4,5,7,proper serving sizes of almost anything,,1,6.0,5,5,10.0,1.0,"steak and veggies,chicken and rice,stirfry,",4.0,,2,2.0,2,3,4.0,3.0,2.0,1.0,5,1.0,0.3069306930693069,skiing,4,2,1.0,0.4230769230769231
60,3.6,1,1,0.7582417582417582,4.0,0.15789473684210525,2,"peanut butter,dessets,pretzels,",3.0,2.0,3,1.0,1,2.0,3,0.2,5,3.0,5,1.0,4.0,,mexican,2,1.0,,1,5,1,4,3,"half the plate fruit and vegetables,other half grains and protein,then a little dairy,",,6,6.0,1,5,5.0,1.0,"lasagna,steak,chili",4.0,,4,1.0,1,3,1.0,2.0,1.0,1.0,1,1.0,0.6831683168316832,water polo and running,5,1,1.0,0.2692307692307692
62,3.9,2,1,0.7582417582417582,4.0,1.0,2,"ice cream,cookies,ice cream",2.0,3.0,2,1.0,1,1.0,2,0.3,5,2.0,2,1.0,2.0,,italian,1,1.0,,1,4,4,3,2,"high protein,low fat,low carbs and sugar",,7,6.0,2,5,1.0,1.0,"pasta,chicken,vegetables",2.0,,4,1.0,2,3,2.0,2.0,1.0,1.0,2,1.0,1.0,ice hockey,4,1,1.0,0.8461538461538461
63,2.6,1,1,0.7582417582417582,4.0,1.0,2,"carrots and ranch,pretzels,dark chocolate",3.0,3.0,3,2.0,1,1.6,3,0.2,4,3.0,5,1.0,4.0,,italian,1,1.0,,1,5,3,4,8,"high protein,fruit,veggies,low carbs and fat",,6,5.0,4,4,8.0,2.0,"chicken and pasta,homemade pizza,lasagna",4.0,,4,1.0,1,3,4.0,2.0,1.2,1.0,4,1.0,0.6831683168316832,rowing,5,2,1.0,0.6153846153846154
64,3.5,1,1,0.7582417582417582,3.0,0.15789473684210525,1,"cookies,nutella,ice cream,coffee,fruit",2.0,1.0,2,1.0,1,1.0,1,0.1,3,2.0,4,1.0,2.0,,chinese cuisine general tso's,4,3.0,,1,5,2,4,3,"meal prep'd foods with food from each section on the food pyramid,",,5,2.0,3,5,1.0,2.0,"1,pasta 2,spaghetti 3,chicken and rice",2.0,,4,1.0,1,2,3.0,4.0,2.0,1.0,3,0.6153846153846154,0.3069306930693069,volleyball,5,1,0.25,0.3076923076923077
