,GPA,Gender,breakfast,calories_chicken,calories_day,calories_scone,coffee,comfort_food,comfort_food_reasons_coded,cook,comfort_food_reasons_coded.1,cuisine,diet_current_coded,drink,eating_changes_coded,eating_changes_coded1,eating_out,employment,ethnic_food,exercise,father_education,father_profession,fav_cuisine,fav_cuisine_coded,fav_food,food_childhood,fries,fruit_day,grade_level,greek_food,healthy_feeling,healthy_meal,ideal_diet,ideal_diet_coded,income,indian_food,italian_food,life_rewarding,marital_status,meals_dinner_friend,mother_education,mother_profession,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,soup,sports,thai_food,tortilla_calories,turkey_calories,type_sports,veggies_day,vitamins,waffle_calories,weight
65,3.2,1,1,0.7582417582417582,3.0,0.0,2,mac and cheese,2.0,2.0,2,2.0,2,1.0,1,0.9,3,3.0,3,2.0,5.0,,italian,1,3.0,,1,3,2,3,3,vegtables,,6,6.0,1,5,3.0,2.0,"lasagna,steak,pasta",3.4,,1,1.0,2,5,1.0,2.0,1.0,2.0,4,0.24786324786324787,0.3069306930693069,none,3,2,0.4391891891891892,0.09230769230769231
66,3.0,1,1,1.0,3.0,0.15789473684210525,1,"chocolate,popcorn,icecream",3.0,2.0,3,1.0,1,2.0,1,0.1,2,3.0,3,1.6,2.0,,american,5,1.0,,1,5,1,4,3,"milk for a drink,meat,a grain,vegetable,fruit for dinner",,5,4.0,3,5,3.0,2.0,"mac and cheese,pizza,chicken",4.0,,4,1.0,1,3,3.0,2.0,1.0,1.0,3,0.6153846153846154,0.3069306930693069,tennis ,5,1,0.4391891891891892,0.19230769230769232
67,3.6,1,1,0.7582417582417582,2.0,0.15789473684210525,1,"ice cream,cake,mozzarella sticks,pierogies",2.0,4.0,2,1.0,2,2.0,1,0.1,3,2.0,5,2.0,2.0,,italian,1,1.0,,1,5,2,2,2,"it has protein,vegetables and some carbs",,7,5.0,2,4,2.0,2.0,"lasagna,pizza,pasta",3.0,,2,1.0,2,4,1.0,2.0,1.0,1.0,2,0.6153846153846154,0.6831683168316832,"recreational basketball,equestrian team",5,2,1.0,0.45
68,3.2,1,1,0.3626373626373626,3.0,0.0,1,"chips,mac and cheese,pizza,french fries",1.0,3.0,1,1.0,1,2.0,1,0.1,1,3.0,4,1.0,5.0,,italian,1,1.0,,1,5,1,3,8,"balanced between protein,veggies,and carbs",,3,6.0,2,5,8.0,2.0,"pasta,chicken parm,tacos",5.0,,3,1.0,1,4,2.0,3.0,1.0,1.0,4,0.24786324786324787,0.3069306930693069,soccer,5,2,0.25,0.34615384615384615
69,3.67,1,2,1.0,4.0,0.15789473684210525,2,"pizza,burritos,slim jims",2.0,2.0,2,1.4,2,2.0,1,0.1,2,3.0,2,2.0,4.0,,italian,1,1.0,,1,3,3,1,3,"well portioned meat,veggies,and fruits,water instead of a sugary drink like pop,",,4,6.0,1,5,3.0,2.0,"steak,pasta,burgers",4.0,,4,2.0,1,3,1.0,3.0,2.0,2.0,5,1.0,0.6831683168316832,none,5,1,1.0,0.23076923076923078
72,3.1,2,2,0.7582417582417582,3.0,1.0,2,"pizza,pretzels,fruit snacks,deli sandwhich",2.0,3.0,2,1.0,2,2.0,1,0.1,1,2.0,4,2.0,3.5,,lean,0,2.0,,1,5,1,2,3,salad,,7,5.0,3,5,2.0,1.0,"pasta,steak,chicken",4.0,,2,1.0,1,2,2.0,3.0,1.0,2.0,3,1.0,0.0,nan,5,1,1.0,0.3076923076923077
73,3.4,2,1,1.0,4.0,0.15789473684210525,2,"chips,ice cream",2.0,1.0,2,1.0,2,2.0,2,1.0,4,3.0,3,1.0,4.0,,mexican,2,1.0,,1,3,2,3,1,"protein source,vegetables,fruits,whole grains",,3,6.0,1,5,2.0,2.0,"chipotle,chick fil a,chicken and rice",2.0,,5,3.0,1,3,1.0,3.0,1.0,1.0,2,1.0,1.0,baseball,4,1,1.0,0.7692307692307693
75,3.0,1,1,0.7582417582417582,3.0,0.15789473684210525,2,"mac and cheese,potato soup,ice cream,chips and cheese",3.0,3.0,3,1.0,1,1.0,1,0.1,2,2.0,5,1.0,4.0,,italian,1,1.0,,1,5,1,3,6,"grilled meat,fruit,vegetable,and some grains",,2,5.0,4,5,9.0,2.0,"chicken,spaghetti,hamburgers",4.0,,4,1.0,2,4,3.0,3.0,1.0,2.0,4,0.6153846153846154,0.3069306930693069,i danced in high school,4,1,0.4391891891891892,0.15384615384615385
76,3.7,1,2,0.7582417582417582,3.0,0.15789473684210525,1,"chocolate,pizza,and mashed potatoes",2.0,2.0,2,1.0,2,2.0,1,0.1,2,2.0,2,2.0,2.0,,american,5,3.0,,1,4,4,2,4,a plate that has a variety of colors not just one color,,3,3.0,1,5,4.0,1.0,"chicken,steak,pizza",5.0,,3,2.0,1,3,1.0,4.0,2.0,1.0,1,1.0,0.6831683168316832,horse back riding,2,2,1.0,0.38461538461538464
79,3.9,2,1,1.0,3.0,0.15789473684210525,2,chips sweets popcorn,2.0,5.0,2,1.0,2,2.0,1,0.5,1,3.0,5,1.0,3.0,,chinese,4,1.0,,1,5,1,5,1,all food groups,,8,6.0,4,5,3.0,1.0,"chicken and vegetables,roast beef,pasta",2.0,,4,1.0,1,3,4.0,2.0,1.0,1.0,5,1.0,1.0,"rowing,running,and cycling",4,2,1.0,0.34615384615384615
80,3.4,1,1,0.3626373626373626,2.0,0.15789473684210525,2,"cookies,burgers,chicken noodle soup,ice cream",7.0,3.0,7,1.0,2,2.0,1,0.1,3,2.0,4,2.0,2.0,,italian,1,3.0,,1,3,1,3,4,"all of the food groupscarbs,veggies,fruits,etc",,2,4.0,3,5,1.0,1.0,"salad,pasta,and ice cream",4.0,,2,1.0,1,3,3.0,3.0,1.0,2.0,4,1.0,0.3069306930693069,nan,2,1,0.4391891891891892,0.23076923076923078
81,3.5,1,2,0.7582417582417582,3.0,0.15789473684210525,1,"cake,french fries,chicken nuggets",2.0,3.0,2,1.0,2,2.0,1,0.1,3,3.0,4,1.0,4.0,,italian,1,1.0,,1,4,4,4,2,all elements of food pyramid,,3,4.0,4,5,2.0,2.0,"steak,mashed potatoes,vegetables",4.0,,2,1.0,3,5,4.0,4.0,2.0,1.0,4,0.24786324786324787,0.3069306930693069,softball and basketball,2,2,0.4391891891891892,0.6923076923076923
82,3.7,1,1,0.0,3.0,0.0,2,"pizza,ice cream,cookies",2.0,2.8,2,1.0,4,2.0,1,0.1,5,3.0,4,1.0,4.0,,italian,1,1.0,,1,3,3,3,8,lots of colors,,2,3.0,3,5,7.0,1.0,"pizza,tacos,pasta",4.0,,3,1.0,2,3,3.0,3.0,1.0,1.0,3,0.0,0.0,wrestling,3,2,0.0,0.5384615384615384
83,3.7,1,1,0.3626373626373626,3.0,0.15789473684210525,2,"mashed potatoes,pasta",2.0,2.0,2,1.0,2,1.0,1,0.0,2,2.4,5,1.6,2.0,,any type of colombian cuisine,2,1.0,,1,4,1,5,4,has fruits vegetables and or some type of meat,,5,1.0,5,5,1.0,1.5,"spaghetti con chorizo,carne asada,salmon",1.0,,3,1.0,2,2,5.0,3.0,1.0,1.0,5,0.6153846153846154,0.6831683168316832,marching band,4,2,1.0,0.2076923076923077
84,3.83,1,1,1.0,3.0,0.15789473684210525,2,"pasta dishes,cheesecake,pancakes",3.0,1.0,3,1.0,1,2.0,2,0.3,2,3.0,5,1.0,4.0,,mexican cuisine,2,3.0,,1,5,2,5,9,mostly vegetables and plenty of lean protein and healthy fats to keep you full,,5,5.0,5,5,9.0,2.0,"stuffed chicken breasts,spagetti carbonara,breakfast for dinner",3.0,,5,1.0,1,3,4.0,2.0,1.0,1.0,5,0.24786324786324787,0.6831683168316832,collegiate water polo,5,1,0.25,0.5153846153846153
85,2.6,1,1,0.0,3.0,0.0,2,"ice cream,pizza,cookies",1.0,3.0,1,1.0,3,2.0,1,0.0,3,2.0,3,3.0,5.0,,asian,4,3.0,,1,5,1,4,7,"lots of greens,meat and water",,5,6.0,2,5,7.0,2.0,"pasta,breakfast for dinner,pizza",3.0,,3,1.0,2,3,3.0,3.0,1.0,2.0,3,0.0,0.3069306930693069,none right now,4,1,0.25,0.3076923076923077
86,3.0,1,1,0.7582417582417582,3.0,0.15789473684210525,2,"chinese food,moes,sponge candy,homemade lasagne",2.0,2.0,2,1.0,1,2.0,2,0.3,1,3.0,4,2.0,2.0,,chinese food,4,3.0,,1,5,1,4,3,small portion of meat with majority fruits or vegetables,,5,6.0,4,5,1.0,1.0,"pizza,chicken and rice and pasta",4.0,,5,1.0,1,3,3.0,4.0,1.0,1.0,4,0.0,0.3069306930693069,"volleyball,lacrosse",4,1,0.4391891891891892,0.6923076923076923
87,3.2,2,1,1.0,3.0,0.15789473684210525,1,"pizza,pasta,mac and cheese",3.0,4.0,3,1.0,2,2.0,1,0.1,2,2.0,3,1.0,4.0,,mac and cheese,5,2.0,,1,4,2,1,5,lots of variety and veggies,,2,6.0,1,5,4.0,1.0,"pasta,pizza,and chicken",5.0,,2,1.0,1,3,1.0,4.0,1.0,1.0,1,1.0,0.6831683168316832,field hockey,4,1,1.0,0.4230769230769231
91,3.8,1,2,0.7582417582417582,2.0,0.15789473684210525,2,"macaroni and cheese,chicken noodle soup,pizza",2.0,2.0,2,1.0,2,2.0,1,0.1,3,2.0,2,2.0,5.0,,american,5,3.0,,1,2,3,1,5,very colorful and smaller portions of the unhealthy food with larger portions of vegetables,,2,6.0,1,4,2.0,2.0,"pasta,chicken,pizza",5.0,,3,2.0,3,3,1.0,3.0,1.0,2.0,1,0.24786324786324787,0.3069306930693069,crew,1,2,0.4391891891891892,0.2692307692307692
93,3.2,2,1,1.0,3.0,0.15789473684210525,2,"mac and cheese,lasagna,chinese food",2.0,4.0,2,1.0,2,2.0,1,0.0,2,3.0,5,3.0,5.0,,italian,1,1.0,,1,4,1,4,6,"fruits,vegetables,meat",,2,4.0,5,5,6.0,1.0,"salmon,hamburger surprise,italian potato soup",4.0,,1,1.0,1,4,5.0,3.0,1.0,2.0,5,1.0,0.6831683168316832,nan,5,2,1.0,0.5
94,3.75,2,1,0.7582417582417582,3.0,0.15789473684210525,2,"candy,chinese,mcdonalds",5.0,2.0,5,1.4,1,2.0,1,0.1,2,2.4,5,1.0,4.0,,lebanese or greek,1,1.0,,1,5,4,5,7,steak or salmon with broccoli or asparagus and brown rice or quinoa,,7,6.0,5,5,6.0,2.0,"salmon,steak,spaghetti squash",4.0,,4,1.0,1,3,5.0,3.0,1.0,1.0,5,0.6153846153846154,0.6831683168316832,"hockey,soccer,golf",5,1,1.0,0.5769230769230769
95,3.5,2,1,0.0,3.0,0.15789473684210525,2,"doritos,mac and cheese,ice cream",2.0,3.0,2,1.0,2,2.0,1,0.0,2,3.0,4,1.0,4.0,,american,5,3.0,,1,4,3,4,10,a balance of meat and vegetables,,6,5.0,3,5,10.0,2.0,"pasta,fish,steak",4.0,,3,1.0,1,3,3.0,2.0,2.0,1.0,4,1.0,0.6831683168316832,wrestling,4,2,1.0,0.6461538461538462
96,3.92,2,1,0.3626373626373626,3.0,0.15789473684210525,2,"ice cream,cake,pop,pizza,and milkshakes",7.0,2.0,7,2.0,2,2.0,2,0.3,2,2.0,4,2.0,2.0,,italian,1,3.0,,1,3,1,3,2,modest proportions of many different food groups,,2,6.0,3,5,8.0,1.0,"pizza,chicken,pasta",5.0,,2,1.0,2,3,3.0,6.0,1.0,2.0,3,0.24786324786324787,0.3069306930693069,soccer,2,1,0.4391891891891892,0.8461538461538461
97,3.9,1,1,1.0,3.0,0.15789473684210525,2,"mac and cheese,pizza,ice cream and french fries",2.0,3.0,2,1.0,1,2.0,2,0.3,2,2.0,3,1.0,5.0,,italian,1,1.0,,1,5,2,2,1,it combines a protein with other elements of the diet such as vegetables and other items that support the body,,2,5.0,2,5,1.0,1.0,"chicken parm,baked ziti,shrimp alfredo",3.0,,4,1.0,1,5,1.0,3.0,1.0,1.0,3,1.0,0.3069306930693069,running,5,2,0.25,0.4230769230769231
99,3.2,1,1,0.3626373626373626,4.0,0.15789473684210525,1,"mac & cheese,frosted brownies,chicken nuggs",3.0,4.0,3,2.0,2,1.0,2,0.3,3,2.0,3,1.6,3.0,,italian,1,1.0,,1,5,1,3,3,"lean meat,fresh fruits & veggies",,4,4.0,1,5,2.0,2.0,"chicken alfredo,chicken parmesan,spaghetti",4.0,,2,1.0,1,3,1.0,3.0,1.0,1.0,1,1.0,0.6831683168316832,softball,5,1,0.4391891891891892,0.5
100,3.5,1,1,0.7582417582417582,3.0,0.28601503759398494,2,"watermelon,grapes,ice cream",3.0,3.0,3,1.0,1,1.0,1,0.1,2,2.0,5,2.0,2.0,,italian,1,1.0,,1,5,1,5,2,"water,fruits,vegetables,protein,carbs",,4,2.0,5,5,1.0,2.0,"spaghetti,steak,lasagna",2.0,,2,1.0,1,2,5.0,2.0,1.0,1.0,5,0.6283760683760684,0.3069306930693069,"volleyball,track",5,2,0.4391891891891892,0.19230769230769232
101,3.4,1,1,0.7582417582417582,3.0,0.15789473684210525,2,"macaroni and cheese,stuffed peppers,hamburgers,french fries",2.0,3.0,2,1.0,2,2.0,1,0.9,2,2.0,5,3.0,4.0,,sushi,4,3.0,,1,5,1,5,3,"more vegetables and fruits as opposed to meat and bread,potatoes",,2,5.0,4,5,3.0,1.0,nan,4.0,,4,1.0,1,2,4.0,5.0,1.0,2.0,3,1.0,0.3069306930693069,nan,5,2,1.0,0.46153846153846156
102,3.4,1,1,0.7582417582417582,4.0,0.15789473684210525,2,"pizza,mashed potatoes,spaghetti",3.0,2.0,3,1.0,1,2.0,2,0.3,3,3.0,5,1.0,5.0,,italian,1,3.0,,1,5,2,2,7,"a protein,veggies,and a carb",,3,4.5,1,5,7.0,1.0,nan,5.0,,5,1.0,2,3,1.0,4.0,1.0,2.0,2,0.6153846153846154,0.3069306930693069,nan,5,1,0.4391891891891892,0.2692307692307692
103,3.7,1,1,0.7582417582417582,3.0,0.15789473684210525,2,"dark chocolate,terra chips,reese's cupsdark chocolate,and bread,crackers with cottage cheese",8.0,2.0,5,1.0,1,1.0,1,0.1,2,2.0,5,2.0,4.0,,indian food,8,1.0,,1,5,3,3,4,"salmon,sweet potato,and larger portion,but equally spread of broccoli,squash,zucchini,carrots,and tomatoes",,2,4.0,5,5,8.0,1.0,"spaghetti and pasta,seasoned salmon with steamed or boiled broccoli,or soup with ritz crackers if i was busy that day",4.0,,4,1.0,2,3,3.0,6.0,1.0,2.0,3,0.24786324786324787,0.0,"when i can,rarely though play pool,darts,and basketball",5,1,0.25,0.23076923076923078
104,3.4,1,1,1.0,3.0,0.15789473684210525,2,"chips,chocolate,,mozzarella sticks",2.0,4.0,2,1.0,2,2.0,1,0.0,2,2.0,4,1.6,4.0,,italian,1,3.0,,1,4,1,3,9,"vegetables,white meat,and a starch like potatoes,water,and fruit for dessert",,2,5.0,3,5,3.0,1.0,"pasta,burgers and fries,chicken marsala",3.0,,4,1.0,2,4,2.0,5.0,2.0,2.0,5,0.6153846153846154,0.6831683168316832,none at the moment,5,1,1.0,1.0
105,3.0,1,1,1.0,3.0,0.15789473684210525,2,"ice cream,chips,candy",2.0,3.0,2,1.0,2,2.0,1,0.8,3,2.4,4,2.0,4.0,,italian,1,3.0,,1,3,4,5,2,"i think a healthy meals includes some kind of protein,preferably meat,vegetables,and a starch such as potatoes or rice",,5,4.0,3,5,1.0,2.0,"chicken rice and asparagus,pizza,something easy in the crockpot",3.0,,2,2.0,1,5,4.0,3.0,2.0,1.0,3,1.0,0.6831683168316832,volleyball,2,2,1.0,0.19230769230769232
106,3.0,1,1,0.3626373626373626,3.0,0.0,2,"pizza,soda,chocolate brownie,chicken tikka masala and butter naan",2.7,2.0,1,1.4,1,1.0,2,1.0,5,2.4,5,2.0,5.0,,nepali,4,1.0,,1,5,1,5,7,"a healthy meal constitutes of balanced diet with fruits and veggies dominating the plate,",,1,1.0,5,5,6.0,1.0,"marinated nuts,prawn crackers,drink of their choice,mixed veggie crackersrice,chicken curry,lentil,pickle,potato kebablemon meringue pie",4.0,,4,1.0,1,3,4.0,4.0,1.0,2.0,4,0.0,0.3069306930693069,none,5,2,0.25,0.23076923076923078
107,3.8,1,1,0.3626373626373626,3.0,0.15789473684210525,1,"chocolate,pasta,cookies",2.7,2.0,1,1.0,1,1.0,1,0.0,2,2.0,4,1.0,3.0,,i really love italian food and thai food,1,3.0,,1,4,2,3,5,to me a healthy meal is balanced and,,2,4.0,3,5,4.0,1.0,"pasta,croque madam,chicken",3.0,,2,1.0,1,3,2.0,4.0,1.0,2.0,5,1.0,0.6831683168316832,i used to play softball,4,2,0.4391891891891892,0.5
108,3.8,1,1,0.3626373626373626,2.0,0.15789473684210525,2,"candy,salty snacks,toast",2.7,5.0,1,1.0,1,2.0,1,0.0,2,3.0,2,1.0,4.0,,italian,1,2.0,,1,5,2,2,6,"equal portions of carbs,proteins and fruits,veges",,1,6.0,5,5,5.0,2.0,"steak,salmon,chicken parm",3.0,,4,1.0,2,3,2.0,3.0,1.0,1.0,2,0.0,0.0,ice hockey,5,2,0.25,0.2153846153846154
109,3.4,1,1,0.7582417582417582,3.0,0.15789473684210525,2,"mac in cheese,pizza,mozzarella sticks",2.7,2.0,1,1.0,2,2.0,2,0.3,3,2.0,2,3.0,5.0,,italian,1,2.0,,1,4,2,2,5,salad with chicken and vegetables with a raspberry vinaigrette,,2,6.0,1,5,1.0,1.0,"spaghetti,grilled chicken,pizza",5.0,,4,1.0,2,3,1.0,5.0,1.0,2.0,2,0.6153846153846154,0.6831683168316832, none,3,1,1.0,0.7692307692307693
110,3.7,1,1,0.7582417582417582,3.0,0.0,1,"ice-cream,pizza,chocolate",2.7,3.0,3,2.0,2,1.0,1,0.1,4,3.0,3,2.0,4.0,,italian,1,1.0,,1,3,4,4,8,"it includes a protein,vegetable,fruit,and grain,",,2,3.0,3,5,9.0,2.0,"grilled chicken,spaghetti,alfredo",4.0,,3,2.0,2,4,4.0,3.0,1.0,1.0,3,0.0,0.6831683168316832,volleyball,3,2,0.4391891891891892,0.46153846153846156
111,2.9,2,1,0.0,2.0,1.0,2,"snacks,chips,",2.7,2.0,2,1.4,1,2.0,2,0.3,2,2.0,3,2.0,2.0,,nan,0,1.0,,1,3,3,5,9,low calories plenty of veggies,,2,5.0,1,3,7.0,1.0,nan,2.0,,4,3.0,1,6,1.0,3.0,1.0,2.0,1,0.24786324786324787,0.0,nan,3,2,1.0,0.5384615384615384
112,3.9,1,1,0.7582417582417582,4.0,0.0,2,"chocolate,ice cream,pizza",2.7,1.0,3,1.0,1,1.0,2,0.3,4,3.0,5,1.0,5.0,,italian,1,3.0,,1,5,4,5,10,a pice of meat such as chicken with a side of vegetables and possibly a salad,,4,6.0,5,5,9.0,2.0,"dinner,lunch,dessert",5.0,,4,1.0,2,3,5.0,3.0,1.0,2.0,5,0.24786324786324787,0.3069306930693069,nan,3,2,0.4391891891891892,0.2230769230769231
113,3.6,1,1,0.3626373626373626,2.0,0.15789473684210525,1,"ice cream,pizza,chinese food",2.7,2.0,2,1.0,2,2.0,1,0.0,3,2.0,3,2.0,4.0,,italian,1,1.0,,1,4,4,3,9,"blackened chicken,broccoli,and milk",,7,6.0,2,5,1.0,2.0,"beef stroganoff,chicken and mashed potatoes,tacos",4.0,,4,1.0,2,3,3.0,4.0,1.0,2.0,2,1.0,0.6831683168316832,none,2,2,0.4391891891891892,0.5384615384615384
114,2.8,2,1,0.7582417582417582,3.0,0.0,2,"burgers,indian and korean food",2.7,3.0,3,4.0,2,2.0,1,0.8,3,3.0,4,2.0,5.0,,korean,4,3.0,,1,4,2,3,7,"meat,greens and food containing protein",,2,3.0,5,4,7.0,2.0,"meat,meat and meat",5.0,,3,1.0,1,5,3.0,1.0,1.0,1.0,5,0.6153846153846154,1.0,"tennis,basketball",3,2,0.25,0.2923076923076923
115,3.3,2,1,0.7582417582417582,4.0,1.0,2,"chocolate bar,ice cream,pretzels,potato chips and protein bars",2.7,4.0,1,1.0,2,2.0,1,0.1,2,2.0,2,1.0,5.0,,i do not like cuisine,0,3.0,,1,5,1,1,10,intaking the proper amount of each food group,,3,6.0,1,4,10.0,2.0,"pasta,chicken,pizza",5.0,,1,1.0,1,5,2.0,2.0,1.0,1.0,1,1.0,0.6831683168316832,hockey,2,2,1.0,0.38461538461538464
116,3.4,1,1,0.7582417582417582,3.0,0.15789473684210525,2,"ice cream,chocolate,pizza,cucumber",2.7,3.0,2,1.4,2,1.0,1,0.1,4,3.0,4,2.0,3.0,,chinese,4,2.0,,1,5,1,1,5,bbq chicken with mash sweat potatoes and steam vegetable with corn and a glass of water,,5,1.0,3,5,2.0,1.0,"rice and peas and chicken,jerk chicken and shrimp",3.0,,2,1.0,2,3,1.0,4.0,1.0,2.0,5,0.24786324786324787,0.0,none,5,1,1.0,0.5384615384615384
117,3.77,1,1,0.7582417582417582,3.0,0.0,2,"noodle  any kinds of noodle,tuna sandwich,and egg,",2.7,3.0,5,4.0,1,1.0,2,0.3,2,2.0,4,1.6,2.0,,vietnamese cuisine,4,3.0,,1,3,2,2,9,including both vegetable and meat,,2,2.0,2,4,7.0,1.0,"vietnamese fried rolls,pho,some kinds of noodles",2.0,,2,1.0,1,2,2.0,4.0,1.0,2.0,5,0.24786324786324787,0.6831683168316832,"no,i don't play sport",3,1,0.25,0.1
118,3.63,1,1,0.3626373626373626,3.0,0.15789473684210525,1,"chinese,chips,cake",2.7,3.0,1,1.0,2,1.0,2,0.3,2,2.0,4,2.0,2.0,,american,5,1.0,,1,5,2,3,5,chicken vegetables and fruit for dinner,,5,3.0,3,5,8.0,2.0,chinese tacos or pasta,2.0,,2,3.0,3,4,2.0,4.0,1.0,2.0,4,0.6153846153846154,0.0,none,5,2,1.0,0.3076923076923077
120,3.5,1,1,0.7582417582417582,4.0,0.15789473684210525,2,"wine,mac and cheese,pizza,ice cream",2.7,3.0,2,1.0,2,2.0,1,0.1,2,1.0,4,2.0,4.0,,italian,1,1.0,,1,5,4,5,5,mainly protein and vegetables with a complex carb,,6,4.0,3,5,7.0,1.0,"pasta,fish,steak",3.0,,5,3.0,1,4,3.0,4.0,1.0,1.0,5,0.6153846153846154,0.3069306930693069,softball,5,1,1.0,0.4307692307692308
121,3.0,1,1,0.0,2.0,0.0,2,"pizza,wings,cheesecake",2.7,3.0,3,1.4,2,1.0,1,0.1,4,3.0,3,2.0,5.0,,mexican food,2,1.0,,1,4,4,1,5,"a healthy meal is a variety of food,organic food that gives you the nutrients such as protein,carbohydrates,fat,water,vitamins and minerals",,5,2.0,5,5,7.0,1.0,fried rice baked potatoes curry chicken,2.0,,3,1.0,3,4,1.0,4.0,1.0,1.4,4,0.6153846153846154,0.3069306930693069,basketball,5,2,1.0,0.6153846153846154
122,3.882,1,1,1.0,3.0,0.15789473684210525,1,"rice,potato,seaweed soup",2.7,3.0,3,1.4,2,1.0,1,0.1,3,3.0,5,2.0,5.0,,korean,4,1.0,,1,4,3,5,6,lots of vegetables,,2,2.0,5,3,10.0,1.0,"meat,rice,kimchi",1.0,,3,1.0,2,4,5.0,4.0,1.0,2.0,5,0.0,0.6831683168316832,none,4,2,1.0,0.15384615384615385
123,3.0,2,1,1.0,4.0,0.15789473684210525,1,"mac n cheese,lasagna,pizza",2.7,3.0,7,1.0,1,2.0,1,0.6,5,2.0,2,1.0,3.0,,italian,1,3.0,,1,5,1,1,1,"a protein,a fruit,a starch,and a salad or some sort of vegetable",,6,4.0,1,5,1.0,1.0,"pizza,spaghetti,baked ziti",2.0,,4,1.0,2,3,1.0,2.0,2.0,2.0,1,0.6153846153846154,0.3069306930693069,nan,3,1,1.0,0.2692307692307692
124,3.9,1,1,0.3626373626373626,3.0,0.0,2,"chocolates,pizza,and ritz",2.7,2.8,5,3.0,1,1.0,2,0.3,1,2.0,3,2.0,4.0,,hispanic cuisine,2,1.0,,1,3,3,2,3,"a cup of rice,vegetables,and meat,",,3,5.0,2,3,5.0,2.0,"vegetables,meat,and rice",3.0,,5,1.0,3,3,2.0,3.0,1.0,2.0,2,0.24786324786324787,0.0,nan,4,2,0.0,0.2692307692307692
